string,module,voltage,current
1,1,1140.0,11.6
1,2,1139.9,11.3
1,3,1140.9,11.6
1,4,1142.3,11.4
1,5,1138.5,11.4
1,6,1140.1,11.6
1,7,1139.7,11.6
1,8,1141.1,11.3
1,9,1142.5,11.8
1,10,1139.1,11.7
1,11,1138.9,11.5
1,12,1140.9,11.7
1,13,1140.8,11.3
1,14,1141.6,11.4
1,15,1139.3,11.8
1,16,1139.3,11.6
1,17,1139.6,11.5
1,18,1141.0,11.4
1,19,1142.1,11.5
1,20,1139.1,11.5
1,21,1138.3,11.6
1,22,1140.8,11.4
1,23,1140.6,11.5
1,24,1141.1,11.6
1,25,1138.0,11.7
1,26,1139.9,11.4
1,27,1139.3,11.5
1,28,1140.9,11.7
1,29,1140.9,11.4
1,30,1138.9,11.6
2,1,1140.4,11.5
2,2,1141.5,11.4
2,3,1141.6,11.6
2,4,1142.4,11.5
2,5,1139.2,11.3
2,6,1139.2,11.5
2,7,1140.8,11.6
2,8,1141.4,11.2
2,9,1142.7,11.8
2,10,1139.8,11.6
2,11,1140.6,11.6
2,12,1140.7,11.6
2,13,1141.8,11.4
2,14,1142.8,11.5
2,15,1139.8,11.6
2,16,1140.7,11.5
2,17,1140.5,11.5
2,18,1142.4,11.8
2,19,1142.8,11.3
2,20,1139.2,11.4
2,21,1140.1,11.7
2,22,1140.1,11.6
2,23,1140.6,11.3
2,24,1142.8,11.5
2,25,1139.6,11.3
2,26,1139.1,11.5
2,27,1139.7,11.6
2,28,1142.2,11.5
2,29,1142.6,11.2
2,30,1139.3,11.6
3,1,1140.5,11.5
3,2,1140.8,11.6
3,3,1141.0,11.4
3,4,1143.6,11.4
3,5,1138.7,11.3
3,6,1140.9,11.8
3,7,1140.1,0.22
3,8,1141.1,11.3
3,9,1142.1,11.7
3,10,1139.2,11.4
3,11,1140.3,11.2
3,12,1140.3,11.8
3,13,1141.3,11.4
3,14,1143.2,11.5
3,15,1140.3,11.5
3,16,1140.6,11.7
3,17,1140.2,11.5
3,18,1142.6,11.5
3,19,1142.2,11.5
3,20,1139.4,11.3
3,21,1140.2,11.6
3,22,1141.2,11.5
3,23,1141.5,11.3
3,24,1143.4,11.5
3,25,1139.6,11.3
3,26,1140.8,11.3
3,27,1140.2,11.5
3,28,1141.4,11.7
3,29,1142.4,11.3
3,30,1139.2,11.8
4,1,1141.1,11.5
4,2,1142.0,11.4
4,3,1142.2,11.7
4,4,1142.2,11.4
4,5,1139.7,11.3
4,6,1141.1,11.6
4,7,1142.4,11.5
4,8,1142.2,11.4
4,9,1143.6,11.6
4,10,1140.3,11.3
4,11,1140.7,11.3
4,12,1140.9,11.6
4,13,1142.4,11.5
4,14,1143.7,11.6
4,15,1140.0,11.5
4,16,1140.7,11.6
4,17,1142.4,11.5
4,18,1141.8,11.8
4,19,1143.5,11.3
4,20,1140.5,11.6
4,21,1140.6,11.7
4,22,1141.2,11.4
4,23,1142.8,11.2
4,24,1143.8,11.6
4,25,1139.2,11.3
4,26,1141.1,11.5
4,27,1141.2,11.8
4,28,1141.6,11.6
4,29,1143.0,11.2
4,30,1139.5,11.6
5,1,1141.9,11.6
5,2,1141.4,11.4
5,3,1143.2,11.5
5,4,1144.4,11.4
5,5,1139.5,11.2
5,6,1141.7,11.6
5,7,1143.0,11.7
5,8,1143.7,11.2
5,9,1144.2,11.7
5,10,1140.8,11.6
5,11,1142.1,11.5
5,12,1141.8,11.6
5,13,1142.3,11.5
5,14,1142.7,11.3
5,15,1140.2,11.7
5,16,1141.7,11.4
5,17,1142.3,11.2
5,18,1142.2,11.8
5,19,1143.3,11.5
5,20,1140.6,11.3
5,21,1141.3,11.5
5,22,1141.2,11.4
5,23,1142.9,11.2
5,24,1143.5,11.5
5,25,1140.3,11.3
5,26,1142.1,11.4
5,27,1142.8,11.8
5,28,1142.6,11.5
5,29,1144.1,11.4
5,30,1140.1,11.7
6,1,1142.6,11.7
6,2,1142.9,11.4
6,3,1144.3,11.7
6,4,1143.3,11.3
6,5,1141.5,11.2
6,6,1140.8,11.6
6,7,1142.6,11.5
6,8,1143.4,11.4
6,9,1144.6,11.6
